m/z	retention_time	p-value	t-score	custom_id	
70.06524299	44.39722633	0.15327567979625992	-2.008317679	M70.065243T44.3972	
70.1625283	573.480957	0.9557140973627867	-0.100394166	M70.162528T573.481	
70.5686089	582.7159119	0.000594416	4.468158045974787	M70.568609T582.7159_1	
70.71838733	490.9965515	0.10026063139857509	2.258610816707357	M70.718387T490.9966_1	
70.81939755	582.6420898	0.003811902	3.7498653722679456	M70.819398T582.6421_2	
70.94194356	765.5021973	0.6334242316179226	0.8081164990633306	M70.941944T765.5022	
70.95804937	4.472245216	0.8594964605354783	0.3284213484805404	M70.958049T4.4722	
70.95804756	28.66602612	0.6170951818204525	0.83822453	M70.958048T28.666	
70.98059106	755.3520203	0.8169939058391001	0.41169214342738264	M70.980591T755.352	
71.0292727	34.88931274	0.3930370248546227	1.295530353291941	M71.029273T34.8893	
71.04896446	491.0286865	0.010779359467133865	3.3216515637401653	M71.048964T491.0287_2	
71.08536251	617.2400513	0.6423096218186508	0.7910445931055169	M71.085363T617.2401	
71.92940041	773.2279053	0.7334444932465739	-0.59683346	M71.9294T773.2279	
72.04416496	582.5190735	0.006766774	3.5254784186596866	M72.044165T582.5191	
72.06432701	57.32001305	0.7630781933450818	0.5315050644035935	M72.064327T57.32_1	
72.08025135	56.75626373	0.36391626150401885	1.366194084368389	M72.080251T56.7563_2	
72.09752198	57.33372879	0.6681560930148829	0.735103729	M72.097522T57.3337_3	
72.93698961	765.7362671	0.6225530836003168	0.8272473764315236	M72.93699T765.7363_1	
72.95761541	765.7723389	0.1035394422987993	2.2419341195657125	M72.957615T765.7723_2	
73.05214487	428.4977875	0.14870247876812442	2.0287733579788916	M73.052145T428.4978	
73.06503016	655.2122192	0.9378477872588715	-0.152895981	M73.06503T655.2122	
73.06498269	599.5297852	0.16488650335387287	1.9615875228854844	M73.064983T599.5298	
73.06487464	517.4039917	0.7734303738507335	0.5079189565393774	M73.064875T517.404	
73.0648702	474.5842743	0.064290811	2.494125802481935	M73.06487T474.5843	
73.06488357	453.9545593	0.2785909983523093	1.589665830858064	M73.064884T453.9546	
73.06485512	205.2423553	0.000350659	4.669094954551292	M73.064855T205.2424	
73.06477359	533.7743835	0.8910149491779952	-0.261061791	M73.064774T533.7744	
73.08427596	48.82106781	0.3241407150175619	1.4641173275076713	M73.084276T48.8211	
73.16082367	491.0286865	0.6518885467753451	0.7721427895471299	M73.160824T491.0287_2	
73.94507661	773.4248047	0.5442284401486213	0.98033077	M73.945077T773.4248	
74.02353939	162.3280334	0.057151237	2.557712884999629	M74.023539T162.328	
74.02336367	199.3932266	0.6774668526159104	-0.714219215	M74.023364T199.3932	
74.06017635	43.18345451	0.7755572	0.5044083012231068	M74.060176T43.1835	
74.93765866	766.8447266	0.7763820538951519	0.5021153418315831	M74.937659T766.8447_1	
74.95294114	765.7660217	0.6526916817786454	0.7707138674389283	M74.952941T765.766	
75.02300143	517.0114136	0.9378477872588715	-0.150406107	M75.023001T517.0114_1	
75.0298681	196.6038208	0.5479528557957292	-0.97386413	M75.029868T196.6038	
75.04419524	725.6845703	0.6153968790285371	-0.843601414	M75.044195T725.6846	
75.94542704	766.8030396	0.6388226361392433	0.7975328322147442	M75.945427T766.803	
76.03945562	43.83259964	0.38941200313561114	-1.304083114	M76.039456T43.8326	
76.93308885	766.4123535	0.13398030151722373	2.0901823967217696	M76.933089T766.4124_1	
76.95330594	765.9674683	0.9668856231853474	0.075731271	M76.953306T765.9675_2	
77.0385141	199.4287643	0.9154866692544079	-0.208394625	M77.038514T199.4288	
77.03827525	162.3671875	0.08875124	2.323380317540711	M77.038275T162.3672	
77.03846555	80.73757172	0.474344889	1.121042804049527	M77.038466T80.7376	
77.94095261	766.8118896	0.4389191846317962	1.1958428957640164	M77.940953T766.8119	
78.04631428	162.3338165	0.062718479	2.508867312494509	M78.046314T162.3338	
78.06069376	651.8736877	0.3136665851849731	-1.492891269	M78.060694T651.8737_2	
78.17322167	676.5778809	0.066606705	-2.475901272	M78.173222T676.5779_2	
78.28441045	676.5802307	0.086089919	-2.339967496	M78.28441T676.5802_4	
78.39618211	676.592041	0.23418464510584855	-1.733163226	M78.396182T676.592_5	
78.96703281	216.5781631	0.000596693	-4.464901047	M78.967033T216.5782	
79.05418895	162.4102898	0.038788935016261884	2.7548724650535585	M79.054189T162.4103	
79.05169992	219.147583	0.993568405	-0.019444339	M79.0517T219.1476_1	
79.55908661	490.4768372	0.10951920113797887	2.208508157306535	M79.559087T490.4768_1	
79.68449557	490.4768372	0.001442691	4.126745697192607	M79.684496T490.4768_2	
79.80999278	490.4742279	0.001089517	4.226419059165533	M79.809993T490.4742_3	
80.28138308	676.0205688	0.546634966	-0.975908815	M80.281383T676.0206_1	
80.33724933	676.0202942	0.7582807054094807	-0.541367459	M80.337249T676.0203_2	
80.6156591	676.0072021	0.30371914114757614	-1.521644495	M80.615659T676.0072_1	
80.72726008	676.0168457	0.6539133279819755	-0.767842195	M80.72726T676.0168_2	
80.92827479	40.99350166	0.9480571386638503	0.12180291584114984	M80.928275T40.9935_1	
80.9465771	41.01329231	0.7326552671831739	-0.599542794	M80.946577T41.0133_2	
80.96302485	216.5761261	0.00070881	-4.398675106	M80.963025T216.5761	
80.96778076	40.99350166	0.8649691995741313	0.3103423423837438	M80.967781T40.9935_3	
81.0637918	680.838501	0.128503435	-2.113436355	M81.063792T680.8385_1	
82.23813306	491.0286865	0.5408894681077192	0.986913984	M82.238133T491.0287	
82.92456877	40.9512291	0.902615234	-0.235815019	M82.924569T40.9512_1	
82.94470592	41.01321793	0.9055982659868596	-0.229736896	M82.944706T41.0132_2	
82.96556207	40.92720604	0.8571773935089021	0.3334147349433371	M82.965562T40.9272_3	
83.08535689	586.3513184	0.001872822	4.020671361602269	M83.085357T586.3513	
83.08524635	606.6801147	0.617329774	0.837495755	M83.085246T606.6801	
83.92997101	764.909729	0.094232601	2.2912823429410323	M83.929971T764.9097	
84.04432664	76.76305389	0.032341328	2.838295421804375	M84.044327T76.7631	
84.04447257	782.4252625	0.8790333805071733	0.28566224402309237	M84.044473T782.4253	
84.04452822	43.47048569	0.8130305645533263	0.4178599511361193	M84.044528T43.4705_2	
84.08092438	62.40090561	0.7404684398067933	0.583019855	M84.080924T62.4009	
84.26274112	689.7748718	0.1099599273342512	-2.205547661	M84.262741T689.7749_1	
84.28366469	689.7748413	0.095184355	-2.283815396	M84.283665T689.7748_2	
84.3047349	689.7778015	0.16361854850593854	-1.96669836	M84.304735T689.7778_3	
84.37416806	689.774353	0.4203988296482996	-1.230950305	M84.374168T689.7744_4	
84.39509412	689.7748413	0.10730514336999894	-2.221864496	M84.395094T689.7748_5	
84.50756099	718.6452942	0.6789077601099235	0.7120021504572637	M84.507561T718.6453_1	
84.50634599	689.774353	0.074537706	-2.419422165	M84.506346T689.7744	
84.58411076	617.2184143	0.7573722450187906	0.5444952177596856	M84.584111T617.2184_1	
84.61883426	718.6254883	0.6483299753873919	0.7776210612234205	M84.618834T718.6255_3	
84.73048167	718.6809082	0.4279164766072392	1.2157284524309802	M84.730482T718.6809_4	
84.77375234	569.458252	0.19669469870909523	-1.846241179	M84.773752T569.4583_1	
84.82954881	569.458252	0.5355431544108075	-0.999048584	M84.829549T569.4583_2	
84.93854724	579.5466309	0.8957927471370503	-0.251189414	M84.938547T579.5466	
84.93871207	658.1661377	0.9729654169585087	0.060466378	M84.938712T658.1661_1	
84.93861924	609.8063965	0.002362569	3.927350877458363	M84.938619T609.8064_1	
84.95782928	755.3071289	0.7590499376224503	0.54022662	M84.957829T755.3071_3	
84.95857241	770.6570435	0.2641478547993134	1.6362751171371703	M84.958572T770.657_1	
84.95824777	524.5919495	0.010690295789248249	3.3275096490798997	M84.958248T524.5919	
