input_row,EID,str_row_ion,compound_names,input_row.1,m/z,retention_time,p_value,statistic,CompoundID_from_user,compound
row1,E1,row1_M+H[1+],1-pyrroline,row1,70.06524299,44.39722633,0.1532756797962599,-2.008317679,M70.065243T44.3972,CE1944
row14,E4,row14_M+H[1+],Acrylamide; 2-Propenamide,row14,72.04416496,582.5190735,0.006766774,3.5254784186596866,M72.044165T582.5191,C01659
row33,E5,row33_M+H[1+];row675_M+HCOONa[1+],Aminoacetone$beta-Aminopropion aldehyde,row33,74.06017635,43.18345451,0.7755572,0.5044083012231068,M74.060176T43.1835,C01888
row33,E5,row33_M+H[1+];row675_M+HCOONa[1+],Aminoacetone$beta-Aminopropion aldehyde,row33,74.06017635,43.18345451,0.7755572,0.5044083012231068,M74.060176T43.1835,C05665
row33,E12,row33_M+2H[2+];row736_M+H[1+];row750_M(C13)+H[1+];row978_M+Na[1+],L-Lysine,row33,74.06017635,43.18345451,0.7755572,0.5044083012231068,M74.060176T43.1835,C00047
row38,E13,row38_M+H[1+],(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0),row38,75.04419524,725.6845703,0.6153968790285371,-0.843601414,M75.044195T725.6846,C00937
row38,E13,row38_M+H[1+],(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0),row38,75.04419524,725.6845703,0.6153968790285371,-0.843601414,M75.044195T725.6846,C00424
row38,E13,row38_M+H[1+],(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0),row38,75.04419524,725.6845703,0.6153968790285371,-0.843601414,M75.044195T725.6846,C05235
row38,E13,row38_M+H[1+],(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0),row38,75.04419524,725.6845703,0.6153968790285371,-0.843601414,M75.044195T725.6846,C00163
row40,E16,row40_M+H[1+],Glycine,row40,76.03945562,43.83259964,0.3894120031356111,-1.304083114,M76.039456T43.8326,C00037
row174,E17,row174_M+H[1+],Sarcosine; N-Methylglycine$L-Alanine$beta-Alanine$D-Alanine,row174,90.0551104,43.0787735,0.322564169,-1.470203055,M90.05511T43.0788,C00213
row174,E17,row174_M+H[1+],Sarcosine; N-Methylglycine$L-Alanine$beta-Alanine$D-Alanine,row174,90.0551104,43.0787735,0.322564169,-1.470203055,M90.05511T43.0788,C00041
row174,E17,row174_M+H[1+],Sarcosine; N-Methylglycine$L-Alanine$beta-Alanine$D-Alanine,row174,90.0551104,43.0787735,0.322564169,-1.470203055,M90.05511T43.0788,C00099
row174,E17,row174_M+H[1+],Sarcosine; N-Methylglycine$L-Alanine$beta-Alanine$D-Alanine,row174,90.0551104,43.0787735,0.322564169,-1.470203055,M90.05511T43.0788,C00133
row184,E23,row184_M+H[1+],D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone,row184,91.03913544,772.0026245,0.4715454113958167,-1.12637317,M91.039135T772.0026,C00256
row184,E23,row184_M+H[1+],D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone,row184,91.03913544,772.0026245,0.4715454113958167,-1.12637317,M91.039135T772.0026,C01013
row184,E23,row184_M+H[1+],D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone,row184,91.03913544,772.0026245,0.4715454113958167,-1.12637317,M91.039135T772.0026,C00186
row184,E23,row184_M+H[1+],D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone,row184,91.03913544,772.0026245,0.4715454113958167,-1.12637317,M91.039135T772.0026,C00184
row185,E24,row185_M+H[1+],D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone,row185,91.03913873,828.1632385,0.8576200915889209,0.3314127226005561,M91.039139T828.1632,C00256
row185,E24,row185_M+H[1+],D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone,row185,91.03913873,828.1632385,0.8576200915889209,0.3314127226005561,M91.039139T828.1632,C01013
row185,E24,row185_M+H[1+],D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone,row185,91.03913873,828.1632385,0.8576200915889209,0.3314127226005561,M91.039139T828.1632,C00186
row185,E24,row185_M+H[1+],D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone,row185,91.03913873,828.1632385,0.8576200915889209,0.3314127226005561,M91.039139T828.1632,C00184
row197,E28,row197_M+H[1+],cyanosulfurous acid anion,row197,91.98019831,38.20912552,0.6950580931478273,0.6749571680825527,M91.980198T38.2091,CE1950
row233,E31,row233_M+H[1+];row234_M+H[1+],Sulfate,row233,98.97452535,250.5011215,0.9668856231853474,0.075936283,M98.974525T250.5011,C00059
row234,E31,row233_M+H[1+];row234_M+H[1+],Sulfate,row234,98.97446269,237.1904755,0.9909530069188894,-0.024844223,M98.974463T237.1905,C00059
row250,E37,row250_M+H[1+],4-Methylpentanal; Isocaproaldehyde; Isohexanal,row250,101.0962939,417.6323853,0.7259312205767233,0.6115848490787571,M101.096294T417.6324,C02373
